Дата,Час_початку,Час_завершення,Тривалість_хв,Тип_стану,Інтенсивність,Діяльність,Місце,Фактори
2025-02-03,10:00,10:40,40,продуктивність,слабка бадьорість,вправи з математики,школа,урок у спокійному темпі
2025-02-03,18:30,19:00,30,втома,слабка втома,перегляд відео,дім,після школи хочеться відпочити
2025-02-04,07:45,08:15,30,втома,слабка втома,збирання до школи,дім,ранковий поспіх мало сну
2025-02-04,16:30,17:10,40,продуктивність,слабка бадьорість,домашнє завдання з історії,дім,тихо ніщо не відволікає
2025-02-05,09:20,10:00,40,продуктивність,сильна бадьорість,урок інформатики практика за компютером,школа,цікаве завдання високий інтерес
2025-02-05,20:30,21:00,30,втома,сильна втома,сидіння в соцмережах,дім,очі втомились голова важка
2025-02-06,08:30,09:00,30,продуктивність,слабка бадьорість,повторення конспектів,дім,ранішня тиша чай
2025-02-06,14:00,14:30,30,втома,слабка втома,сидів на уроці без активності,школа,шумно душно
2025-02-07,10:10,10:50,40,продуктивність,сильна бадьорість,розвязування задач з фізики,школа,учитель ставив цікаві запитання
2025-02-07,17:30,18:00,30,втома,слабка втома,дорога додому,в дорозі,багато людей шумний транспорт
2025-02-08,11:00,11:40,40,продуктивність,слабка бадьорість,домашнє завдання з іноземної мови,дім,вихідний день спокійна атмосфера
2025-02-08,21:30,22:00,30,втома,сильна втома,перегляд серіалу,дім,пізній час хочеться спати
2025-02-09,09:30,10:10,40,продуктивність,сильна бадьорість,підготовка презентації,дім,музика у навушниках гарний настрій
2025-02-09,16:00,16:30,30,втома,слабка втома,перерва за телефоном,дім,тривала концентрація до цього
2025-02-10,08:20,09:00,40,продуктивність,слабка бадьорість,повторення теми з біології,дім,добре виспався нормальний настрій
2025-02-10,13:30,14:00,30,втома,слабка втома,сидів на уроці,школа,душно хочеться рухатись
2025-02-11,10:00,10:35,35,продуктивність,сильна бадьорість,усна відповідь на уроці,школа,активна участь легке хвилювання
2025-02-11,19:00,19:30,30,втома,сильна втома,нічого не робив просто лежав,дім,насичений день багато вражень
2025-02-12,09:00,09:40,40,продуктивність,сильна бадьорість,домашнє завдання з алгебри,дім,кава тиша концентрація
2025-02-12,15:30,16:00,30,втома,слабка втома,спілкування в чаті,дім,очі втомились від екрана
2025-02-13,11:15,11:45,30,продуктивність,слабка бадьорість,робота в групі над проєктом,школа,жваве обговорення цікаві ідеї
2025-02-13,20:30,21:00,30,втома,сильна втома,перегляд відео перед сном,дім,пізній час мало енергії
2025-02-14,08:40,09:20,40,продуктивність,сильна бадьорість,підготовка до контрольної з інформатики,дім,зосередженість бажання отримати гарний бал
2025-02-14,17:00,17:30,30,втома,слабка втома,поїздка у транспорті,в дорозі,шумно втома наприкінці дня
2025-02-15,10:30,11:10,40,продуктивність,слабка бадьорість,творче завдання з мистецтва,дім,вихідний день приємний настрій
2025-02-15,21:00,21:30,30,втома,сильна втома,гра в онлайн ігри,дім,довго сидів за компютером
2025-02-16,14:00,14:40,40,продуктивність,сильна бадьорість,повторення матеріалу за тиждень,дім,хоче підготуватись до понеділка
2025-02-16,19:30,20:00,30,втома,слабка втома,перегляд новин,дім,інформаційна втома
2025-02-17,09:00,09:35,35,продуктивність,слабка бадьорість,конспектування на уроці,школа,звичайний робочий ритм
2025-02-17,16:30,17:00,30,втома,сильна втома,дорога додому після гуртка,в дорозі,довго стояв у транспорті
2025-02-18,08:50,09:25,35,продуктивність,сильна бадьорість,розвязування задач на уроці,школа,активна робота з класом
2025-02-18,18:00,18:30,30,втома,слабка втома,відпочинок за телефоном,дім,хочеться полежати мало сил
2025-02-19,10:20,11:00,40,продуктивність,слабка бадьорість,робота над проєктом з інформатики,школа,робота в парі спокійний темп
2025-02-19,20:30,21:00,30,втома,сильна втома,перегляд відео,дім,кінець дня очі втомлені
2025-02-20,09:00,09:35,35,продуктивність,сильна бадьорість,домашнє завдання з географії,дім,тиша помірна складність завдань
2025-02-20,15:00,15:30,30,втома,слабка втома,сидіння у телефоні,дім,після уроків мало енергії
2025-02-21,11:10,11:45,35,продуктивність,слабка бадьорість,обговорення проєкту з учителем,школа,корисний зворотний звязок
2025-02-21,19:30,20:00,30,втома,сильна втома,нічого не робив просто відпочинок,дім,кінець тижня відчутна втома
2025-02-22,10:30,11:10,40,продуктивність,сильна бадьорість,робота над творчим завданням,дім,вихідний багато натхнення
2025-02-22,22:00,22:30,30,втома,слабка втома,перегляд фільму,дім,очі втомились але настрій добрий
2025-02-23,15:00,15:35,35,продуктивність,слабка бадьорість,планування справ на наступний тиждень,дім,спокійний стан перед новим тижнем
2025-02-23,20:30,21:00,30,втома,сильна втома,простий відпочинок без екранів,дім,готовність лягти спати раніше
